b,chi,seed,NOR,COR(1.05),COR(1.10),COR(1.15),COR(1.20),COR(1.25),COR(1.30),COR(1.35),COR(1.40),COR(1.45),COR(1.50),COR(1.55),COR(1.60),COR(1.65),COR(1.70),COR(1.75),COR(1.80),COR(1.85),COR(1.90),COR(1.95)
6,3,4,101,92,83,75,67,59,52,44,32,33,31,26,26,30,34,40,52,71,107,205,
6,3,5,82,75,68,62,56,50,44,39,33,25,26,27,29,32,36,43,54,70,114,198,
6,3,6,66,60,54,49,44,40,35,31,26,21,19,21,24,28,33,40,50,68,101,194,
6,3,7,67,61,55,50,45,40,36,31,27,21,20,22,25,28,34,40,51,68,101,199,
6,3,8,191,171,153,136,121,106,91,76,59,46,48,42,31,34,48,44,56,71,105,201,
6,3,9,64,58,53,48,44,40,36,32,28,23,23,25,34,30,34,40,51,66,99,197,
6,3,10,68,61,55,49,44,39,34,30,25,18,21,22,24,29,34,42,51,71,106,199,
6,3,11,76,69,62,56,50,45,40,35,30,26,20,21,24,27,34,41,51,71,103,195,
6,3,12,78,71,64,58,52,47,41,36,31,25,24,26,29,33,37,45,56,72,107,213,
6,3,13,216,196,177,159,143,128,115,102,90,78,65,60,58,56,57,59,69,69,103,210,
6,3,14,111,100,91,82,74,66,59,53,47,40,34,27,25,28,34,41,51,69,101,196,
6,3,15,70,64,58,52,47,42,37,33,28,21,20,22,26,30,34,42,53,71,107,205,
6,3,16,144,129,115,103,91,80,69,58,39,46,45,41,38,116,87,61,52,68,99,198,
6,3,17,73,64,55,47,32,40,39,34,184,189,134,61,92,81,56,65,71,97,134,204,
6,3,18,95,86,78,71,64,58,52,46,41,35,28,27,28,31,36,43,52,70,106,202,
6,3,19,89,81,73,65,59,52,46,40,35,29,20,23,25,29,34,41,52,69,103,200,
6,3,20,400,400,400,400,368,332,297,264,232,195,150,94,88,77,54,64,59,70,103,205,
6,3,21,137,122,109,98,87,77,67,59,51,43,35,26,25,28,33,41,52,69,100,198,
6,3,22,138,149,149,151,103,88,76,67,58,50,42,34,24,29,33,41,51,68,102,200,
6,3,23,47,43,39,35,31,27,24,20,16,17,19,22,25,29,33,42,52,67,101,198,
6,3,24,109,104,98,91,84,77,70,64,57,51,44,37,28,28,34,40,51,68,104,200,
6,3,25,189,172,156,141,128,115,104,93,83,73,63,53,41,40,45,49,59,73,108,201,
6,3,26,94,85,77,70,63,56,50,44,38,32,26,22,25,28,34,40,51,67,100,196,
6,3,27,52,47,43,39,35,31,27,23,18,19,21,23,26,28,35,42,52,68,100,201,
6,3,28,81,74,67,60,54,48,42,36,31,24,21,22,26,29,35,42,53,71,108,210,
6,3,29,176,160,146,133,120,108,97,86,76,66,56,47,38,32,36,49,54,68,104,195,
6,4,0,69,103,91,81,72,65,57,50,44,37,30,25,26,29,36,41,53,69,105,198,
6,4,1,136,123,112,102,92,83,74,66,59,51,44,36,27,28,33,39,49,68,99,188,
6,4,2,77,70,64,58,52,47,42,37,33,28,21,23,26,30,35,42,54,73,109,212,
6,4,3,98,89,80,72,65,58,52,46,40,33,26,23,25,29,35,42,53,71,105,205,
6,4,4,184,167,151,137,124,112,100,90,80,71,61,53,43,34,38,46,56,73,108,201,
6,4,5,66,59,53,48,42,37,33,28,24,18,20,22,25,29,34,41,52,69,101,201,
6,4,6,99,90,82,74,67,61,54,48,42,37,30,26,28,31,35,44,53,70,102,197,
6,4,7,400,400,400,400,400,362,326,292,260,230,202,175,149,123,97,68,60,73,105,202,
6,4,8,56,51,46,42,38,34,30,26,21,20,21,23,26,29,35,42,54,71,106,201,
6,4,9,79,71,65,58,53,47,42,37,32,27,20,22,25,29,35,41,51,69,104,204,
6,4,10,97,86,77,67,58,48,39,40,38,34,30,23,25,30,35,42,52,68,103,198,
6,4,11,67,61,56,51,46,42,38,34,30,24,24,27,31,35,40,45,54,72,105,202,
6,4,12,400,400,384,349,316,286,258,232,207,184,161,140,118,96,74,47,50,66,103,198,
6,4,13,103,93,84,76,68,61,54,48,42,36,30,23,26,30,34,43,53,71,104,205,
6,4,14,114,103,93,84,75,67,60,53,46,39,32,26,28,30,36,43,53,71,102,199,
6,4,15,102,92,83,75,67,60,53,47,41,35,28,24,26,29,34,42,52,70,102,197,
6,4,16,193,215,217,213,204,193,181,168,155,142,128,114,101,87,72,54,52,69,103,211,
6,4,17,110,98,87,77,69,61,53,46,40,33,26,23,26,30,35,42,53,71,105,199,
6,4,18,157,143,129,117,106,96,86,77,68,60,52,43,34,29,35,42,51,72,106,203,
6,4,19,83,75,68,61,55,49,44,38,33,28,21,22,25,28,34,41,51,68,102,194,
6,4,20,85,76,68,61,54,48,41,35,29,24,22,21,24,28,33,40,50,67,101,202,
6,4,21,150,136,123,111,100,90,81,72,63,55,47,38,27,30,34,42,53,70,103,208,
6,4,22,185,168,152,138,124,112,101,90,81,72,64,57,71,43,41,45,55,70,106,206,
6,4,23,156,142,129,117,105,95,85,76,67,59,51,42,32,29,35,41,51,68,102,197,
6,4,24,384,350,319,290,264,239,216,194,173,153,134,116,96,63,87,53,53,67,103,201,
6,4,25,289,239,115,203,219,218,210,198,183,167,150,134,119,103,86,66,62,77,117,201,
6,4,26,174,158,142,128,116,104,93,83,73,64,55,46,36,33,37,45,53,70,105,207,
6,4,27,102,93,84,76,69,62,55,49,43,37,30,27,29,33,38,52,51,66,108,202,
6,4,28,128,116,104,94,84,75,66,58,50,42,32,26,27,30,35,46,52,71,105,200,
6,4,29,100,91,83,75,68,62,55,49,44,38,31,28,29,31,34,42,52,69,102,198,
6,5,0,223,203,185,168,153,138,125,112,100,88,77,67,56,45,32,37,48,61,92,168,
