b,chi,seed,trueError,COR(1.000),COR(1.500),COR(1.667),COR(1.750),COR(1.800),COR(1.833),COR(1.857),COR(1.875),COR(1.889),COR(1.900),COR(1.909),COR(1.917),COR(1.923),COR(1.929),COR(1.933),COR(1.938),COR(1.941),COR(1.944),COR(1.947),COR(1.950)
4,3,860,0.02935410882742939,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
4,3,182,0.00011476628423689375,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
4,3,569,0.0007791560835409937,100,100,48,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
4,3,886,0.3242454035046203,100,100,49,73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
4,3,191,0.0028498965098210454,100,100,100,100,34,21,18,20,22,23,24,25,29,32,33,34,36,40,100,100,
4,3,391,0.005717269175717825,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
6,1,779,135.37229634637012,28,29,43,60,82,92,106,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,1,81,134.09136942164713,67,32,45,65,75,95,109,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,1,390,221.41777896381666,40,28,45,65,81,96,112,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,1,695,175.0522724642787,32,27,47,70,77,94,110,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,1,46,213.77410475310273,34,28,43,64,80,98,110,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,1,353,232.22078032912606,49,28,43,59,77,93,108,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,1,660,139.49087953161768,24,28,47,68,76,95,110,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,1,961,271.8770317603959,46,27,45,60,75,93,104,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,1,266,175.31555033753287,91,32,45,65,76,96,111,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,1,594,205.29381735343776,33,26,49,60,80,97,108,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,2,897,40.84093093612715,99,30,48,78,80,99,111,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,2,275,53.96979727913501,94,29,45,64,77,95,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,2,651,51.19677004984705,62,35,60,7,8,10,11,13,14,15,17,19,21,22,23,24,26,27,29,31,
6,2,756,87.46663361263953,109,40,56,62,78,96,111,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,2,142,59.028323915821964,89,28,53,67,90,96,107,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,2,523,44.94272277952171,94,28,53,61,81,95,113,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,2,891,51.24043016939196,120,41,46,61,88,98,118,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,2,271,54.958496833423226,120,119,67,71,78,93,112,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,2,709,47.95415771327765,102,30,58,62,74,99,114,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,2,79,55.31169716636063,120,60,49,65,81,95,114,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,3,465,9.077006181514262,120,53,46,73,109,115,114,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,3,863,11.55392726149759,120,50,12,11,12,13,14,15,17,18,21,23,24,27,30,31,34,33,35,36,
6,3,999,5.908950312193392,120,93,84,80,89,103,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,3,410,9.568460128724965,120,42,59,66,83,109,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,3,802,12.61651582599913,120,58,71,108,101,102,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,3,212,11.14638268202608,100,37,47,104,78,102,115,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,3,603,9.613867797585531,70,27,45,63,77,94,107,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,3,973,6.777841301104116,73,77,104,96,83,109,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,3,369,13.388751498883408,103,48,44,112,88,103,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,3,764,6.374466640615568,120,41,56,72,91,120,117,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,4,160,0.544284340564231,120,66,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,4,584,1.0880158788096632,120,120,120,92,81,94,116,120,120,120,120,120,120,120,120,120,41,120,120,120,
6,4,13,1.3894226546164457,120,120,120,120,120,120,118,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,4,461,1.435949822072006,120,41,81,81,90,96,115,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,4,873,1.6833910506466057,120,120,57,120,82,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,4,308,0.6012555813386992,120,120,77,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,4,744,2.36863711333363,120,103,51,120,120,120,112,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,4,176,1.661323944731273,120,120,41,25,19,16,19,20,22,25,28,30,33,35,38,39,40,41,44,46,
6,4,369,0.7666098403478524,120,120,120,120,117,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,4,807,0.8118512320402671,120,105,60,120,79,96,120,120,120,120,21,20,20,21,22,22,23,26,28,120,
6,5,91,0.006941202950098042,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,5,551,0.16413487580700517,120,120,120,71,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,5,993,0.09539971625662633,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,5,455,0.0008039221023633191,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,5,912,0.15534210841830481,120,120,120,120,120,120,120,120,120,120,120,25,120,120,120,29,29,30,32,32,
6,5,349,0.0006593772154624112,120,120,120,120,120,108,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,5,791,0.02236050734023892,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,5,245,0.010045606289663904,120,86,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,5,702,0.04958502377007991,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
6,5,147,0.037912269300805816,120,120,120,83,120,120,120,113,120,120,120,120,120,120,120,120,120,120,120,120,
