b,chi,seed,trueError,NOR_solve,NOR_cg(10),COR_solve,COR_cg(10),ROR_solve,ROR_cg(10),IROR_solve,IROR_cg(10),LBOR_solve,LBOR_cg(10),
10,8,298,0.800365702128728,240,306,45,188,59,199,52,167,99,197,
10,8,376,0.7973582604414305,388,432,47,211,52,226,52,248,107,203,
10,8,649,0.36965913261429717,198,224,45,104,54,101,52,107,67,136,
10,8,755,0.376294698969595,500,500,74,369,67,410,66,407,139,463,
10,8,432,0.7818635729403189,261,274,45,116,50,154,49,135,67,165,
b,chi,seed,trueError,NOR_solve,NOR_cg(10),COR_solve,COR_cg(10),ROR_solve,ROR_cg(10),IROR_solve,IROR_cg(10),LBOR_solve,LBOR_cg(10),
10,8,348,0.4399221269745391,243,285,53,178,59,154,54,154,93,173,
10,8,390,0.4487095987406836,500,500,69,340,72,500,74,481,123,439,
10,8,141,0.2669144848187553,351,493,47,268,66,295,56,292,120,316,
10,8,607,0.2551731978495859,346,422,47,319,57,383,55,340,74,220,
10,8,815,0.615715145835442,500,500,55,435,54,409,67,416,98,437,
10,8,414,1.465265120315988,500,500,128,329,133,393,122,335,188,496,
10,8,135,0.1601226396045908,499,500,84,280,87,276,91,285,188,340,
10,8,859,0.6060301221681995,500,500,431,500,358,500,386,500,219,500,
10,8,766,0.6784420422081323,315,379,45,181,50,273,52,242,61,229,
10,8,151,0.1970011749147772,291,354,45,166,51,187,52,179,72,204,
b,chi,seed,trueError,NOR_solve,NOR_cg(10),COR_solve,COR_cg(10),ROR_solve,ROR_cg(10),IROR_solve,IROR_cg(10),LBOR_solve,LBOR_cg(10),
10,8,72,0.9920066489370599,246,296,45,159,46,206,45,171,44,183,
b,chi,seed,trueError,NOR_cg(10),NOR_solve,COR_cg(10),COR_solve,ROR_cg(10),ROR_solve,IROR_cg(10),IROR_solve,LBOR_cg(10),LBOR_solve,
10,8,369,0.3840424335055752,500,449,161,50,170,56,162,56,306,145,
b,chi,seed,trueError,NOR_cg(10),NOR_solve,COR_cg(10),COR_solve,ROR_cg(10),ROR_solve,IROR_cg(10),IROR_solve,LBOR_cg(10),LBOR_solve,
10,8,879,0.18617864510922513,378,352,194,51,191,62,199,59,247,70,
10,8,261,0.8807243826258553,428,355,278,45,278,50,275,51,295,59,
10,8,822,0.25622545640626504,328,299,20,10,20,11,18,10,219,103,
10,8,881,0.9553282266384533,500,451,482,500,365,500,373,500,353,100,
10,8,961,0.31745973130594024,500,475,481,46,500,56,500,54,277,95,
10,8,408,0.6576458817155895,300,247,189,46,273,59,241,48,204,53,
10,8,415,0.5622058977813909,417,343,195,58,180,66,180,62,268,120,
10,8,593,0.875044026659955,500,500,500,270,500,224,500,224,500,408,
10,8,174,0.6634286017907768,350,280,165,42,256,50,222,47,199,100,
10,8,585,0.6583402756480913,329,268,181,46,193,61,198,53,224,58,
b,chi,seed,trueError,NOR_cg(16),NOR_solve,COR_cg(16),COR_solve,ROR_cg(16),ROR_solve,IROR_cg(16),IROR_solve,LBOR_cg(16),LBOR_solve,
16,8,764,486.43949146108883,276,275,28,23,78,22,30,32,109,107,
16,8,845,399.28869936961377,293,292,52,57,52,50,46,48,88,85,
16,8,955,446.4283959460721,288,292,55,57,49,50,45,45,84,87,
16,8,205,498.08932548201926,600,634,170,800,800,800,800,800,160,158,
16,8,574,395.7245171611072,779,778,135,68,113,68,122,76,251,159,
16,8,755,405.93680570582455,461,460,47,57,56,48,68,52,108,100,
16,8,362,422.74521249889676,768,766,163,97,212,91,163,100,251,215,
16,8,643,519.3403834860001,583,579,65,56,67,56,66,57,209,151,
16,8,219,392.38601028489063,334,335,58,60,54,55,53,53,102,108,
16,8,550,481.24823457052395,493,461,79,58,47,50,69,56,249,187,
b,chi,seed,trueError,NOR_cg(16),NOR_solve,COR_cg(16),COR_solve,ROR_cg(16),ROR_solve,IROR_cg(16),IROR_solve,LBOR_cg(16),LBOR_solve,
