b,chi,seed,LBOR,NOR,COR(1.60),COR(1.65),COR(1.70),COR(1.75),COR(1.80),COR(1.85),COR(1.90),COR(1.95),ROR
10,2,7,72,136,24,27,33,40,48,64,96,187,45,
10,2,8,59,230,32,29,33,39,48,65,95,184,44,
10,2,9,31,54,24,28,32,40,49,67,98,185,41,
10,2,10,19,49,24,27,32,39,49,66,96,189,46,
10,2,11,29,82,25,28,33,39,48,65,100,190,43,
10,2,12,33,58,23,26,31,38,48,66,96,186,42,
10,2,13,79,306,29,32,35,41,51,71,100,190,44,
10,2,14,42,72,25,28,33,39,49,66,98,186,45,
10,2,15,79,400,42,41,40,45,52,67,96,189,50,
10,2,16,63,116,27,28,33,39,49,62,96,185,44,
10,2,17,58,134,25,27,32,39,48,65,95,191,42,
10,2,18,37,102,39,36,36,40,50,68,97,188,45,
10,2,19,23,44,25,29,33,40,48,64,96,183,45,
10,2,20,61,133,29,29,32,39,47,63,94,180,53,
10,2,21,27,58,26,30,34,40,50,65,97,190,46,
10,2,22,23,55,23,27,32,42,52,65,101,190,37,
10,2,23,39,92,27,29,32,40,49,66,101,183,44,
10,2,24,21,70,24,27,31,38,49,65,98,191,39,
10,2,25,23,66,23,26,31,38,47,64,96,190,43,
10,2,26,43,97,31,34,35,40,48,64,102,191,45,
10,2,27,38,121,26,28,33,39,49,64,95,187,43,
10,2,28,27,63,24,28,32,39,49,65,96,191,42,
10,2,29,23,49,24,28,32,39,49,65,95,187,44,
10,2,30,29,85,26,31,37,41,48,64,99,192,42,
10,2,31,59,176,38,28,32,39,49,64,95,186,44,
10,2,32,33,138,32,28,32,55,67,67,95,191,53,
10,2,33,47,197,50,39,34,37,47,63,94,185,44,
10,2,34,51,185,43,29,32,39,49,65,94,192,44,
10,2,35,35,66,24,28,33,39,50,66,97,193,43,
10,2,36,57,223,62,59,57,60,66,76,102,189,64,
10,2,37,32,56,27,29,33,40,50,66,98,190,51,
10,2,38,25,69,23,27,31,38,48,63,97,190,42,
10,2,39,27,73,23,27,32,38,48,64,98,190,44,
10,2,40,60,178,41,33,34,38,48,63,96,187,38,
10,2,41,37,75,24,27,32,38,47,63,96,185,38,
10,2,42,30,97,23,27,32,38,49,65,97,188,37,
10,2,43,46,140,33,33,35,40,49,67,98,189,41,
10,2,44,65,153,54,52,46,41,50,65,95,189,43,
10,2,45,58,181,67,57,48,41,48,65,96,186,43,
10,2,46,43,98,33,34,38,43,51,67,97,188,42,
10,2,47,24,66,25,29,33,39,50,65,97,190,42,
10,2,48,31,69,27,31,35,40,50,70,97,190,46,
10,2,49,48,138,25,28,32,38,48,65,96,187,44,
10,2,50,39,67,23,26,32,38,49,65,94,185,40,
10,2,51,32,58,23,27,32,39,49,65,98,190,38,
10,2,52,39,69,24,27,32,39,48,66,95,188,47,
10,2,53,45,123,28,30,35,41,51,67,98,192,41,
10,2,54,18,32,24,28,32,38,48,64,93,183,40,
10,2,55,26,52,24,28,32,38,48,65,96,186,48,
10,2,56,31,86,26,29,33,40,49,63,96,187,44,
10,2,57,35,93,29,33,36,41,50,66,98,192,48,
10,2,58,29,60,23,26,32,38,48,64,94,188,44,
10,2,59,30,59,23,26,31,37,47,63,93,186,43,
10,2,60,22,44,30,33,37,42,50,65,98,190,45,
10,2,61,26,71,23,27,32,38,48,64,97,186,38,
10,2,62,31,104,30,33,41,40,48,63,91,182,47,
10,2,63,28,85,22,26,31,37,47,63,94,183,42,
10,2,64,24,39,25,28,32,39,48,64,95,185,41,
10,2,65,36,75,26,29,33,40,49,65,97,191,43,
10,2,66,33,95,24,27,31,38,48,63,96,188,39,
10,2,67,33,80,26,28,32,39,48,65,96,186,44,
10,2,68,23,52,24,27,32,39,48,66,103,186,46,
10,2,69,56,110,46,46,47,53,53,66,96,186,56,
10,2,70,25,44,24,27,32,39,48,65,95,184,43,
10,2,71,44,122,41,40,43,46,54,69,98,188,49,
10,2,72,43,88,26,29,34,40,49,64,97,190,50,
10,2,73,21,72,23,27,31,38,48,65,98,190,44,
10,2,74,22,34,23,27,31,38,48,64,97,191,41,
10,2,75,19,43,27,30,35,41,50,66,98,193,45,
10,2,76,36,64,23,26,31,37,47,63,95,187,40,
10,2,77,59,144,26,28,32,39,48,65,95,182,48,
10,2,78,116,291,63,50,46,70,56,65,98,187,58,
10,2,79,40,70,23,26,31,38,47,63,94,192,42,
10,2,80,49,129,29,29,35,39,49,66,98,190,42,
10,2,81,68,328,83,69,54,38,48,64,94,191,51,
10,2,82,19,37,29,32,39,46,57,70,101,191,47,
10,2,83,48,88,26,30,33,40,49,65,96,188,47,
10,2,84,25,70,23,26,31,38,48,65,95,186,44,
10,2,85,60,187,50,40,40,46,51,66,98,189,40,
10,2,86,27,48,23,27,32,37,47,63,95,187,40,
10,2,87,27,78,24,28,32,39,49,66,98,187,47,
10,2,88,19,40,25,29,34,40,49,65,97,190,45,
10,2,89,49,88,25,28,32,39,49,65,101,184,49,
10,2,90,28,56,23,26,31,38,47,65,97,190,42,
10,2,91,24,58,25,28,33,39,49,64,96,187,39,
10,2,92,49,92,23,27,32,37,48,67,97,190,56,
10,2,93,30,75,23,26,31,38,49,67,94,188,45,
10,2,94,32,64,24,28,32,39,49,66,97,189,46,
10,2,95,43,114,67,44,33,49,55,65,96,191,56,
10,2,96,27,62,23,26,31,38,48,64,96,187,47,
10,2,97,22,35,23,27,32,39,49,65,95,188,44,
10,2,98,37,111,30,31,35,40,49,66,97,189,44,
10,2,99,23,43,24,28,32,39,48,64,96,189,43,
10,5,0,61,211,29,32,35,42,54,71,104,202,50,
10,5,1,63,400,102,86,71,54,53,69,104,204,51,
10,5,2,36,97,31,34,38,43,53,71,247,198,400,
10,5,3,62,258,136,112,89,67,54,70,105,202,71,
10,5,4,109,397,101,85,68,56,59,71,103,200,55,
10,5,5,60,142,35,31,35,42,51,68,103,197,52,
10,5,6,27,85,28,34,36,41,52,69,103,205,47,
10,5,7,56,134,37,41,48,54,59,71,105,207,76,
10,5,8,71,206,44,31,35,42,52,69,104,202,47,
10,5,9,52,293,44,40,43,50,60,71,104,208,48,
10,5,10,38,118,36,39,42,47,55,72,108,202,52,
10,5,11,44,96,72,56,39,45,53,72,105,201,51,
10,5,12,54,160,34,35,37,43,53,69,105,204,51,
