b,chi,seed,trueError,NOR,WCOR,WROR,WIROR,WLBOR,WMSGD,WNAG,SCOR,SROR,SMSGD,SNAG,
b,chi,seed,trueError,NOR,WCOR,WROR,IWROR,WLBOR,WMSGD,WNAG,SCOR,SROR,SMSGD,SNAG,
b,chi,seed,trueError,NOR,WCOR,WROR,IWROR,WLBOR,WMSGD,WNAG,SCOR,SROR,SMSGD,SNAG,
12,6,874,600,600,600,600,600,600,600,600,600,600,600,
12,6,264,600,600,600,600,600,600,600,600,600,600,600,
12,6,766,600,600,600,600,600,600,600,600,600,600,600,
12,6,473,600,600,600,600,600,600,600,600,600,600,600,
12,6,386,600,600,600,600,600,600,600,600,600,600,600,
12,6,38,600,600,600,600,600,600,600,600,600,600,600,
12,6,698,600,600,600,600,600,600,600,600,600,600,600,
12,6,420,600,600,600,600,600,600,600,600,600,600,600,
12,6,146,600,600,600,600,600,600,600,600,600,600,600,
12,6,724,600,600,600,600,600,600,600,600,600,600,600,
b,chi,seed,trueError,NOR,WCOR,WROR,IWROR,WLBOR,WMSGD,WNAG,SCOR,SROR,SMSGD,SNAG,
12,6,843,600,600,600,600,600,600,600,600,600,600,600,
b,chi,seed,minError,NOR,WCOR,WROR,IWROR,WLBOR,WMSGD,WNAG,SCOR,SROR,SMSGD,SNAG,
12,6,409,600,600,600,600,600,600,600,600,600,600,600,
b,chi,seed,minError,NOR,WCOR,WROR,IWROR,WLBOR,WMSGD,WNAG,SCOR,SROR,SMSGD,SNAG,
12,6,52,600,600,600,600,600,600,600,600,600,600,600,
b,chi,seed,minError,NOR,WCOR,WROR,IWROR,WLBOR,WMSGD,WNAG,SCOR,SROR,SMSGD,SNAG,
12,6,52,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
