b,chi,seed,NOR,COR(1.05),COR(1.10),COR(1.15),COR(1.20),COR(1.25),COR(1.30),COR(1.35),COR(1.40),COR(1.45),COR(1.50),COR(1.55),COR(1.60),COR(1.65),COR(1.70),COR(1.75),COR(1.80),COR(1.85),COR(1.90),COR(1.95)
18,1,0,62,56,51,46,41,37,33,29,25,20,19,20,22,26,30,37,46,60,91,179,
18,1,1,55,50,45,41,37,33,29,25,22,18,18,20,22,25,30,35,45,60,89,174,
18,1,2,116,105,96,87,79,72,65,58,52,46,40,34,26,26,30,36,44,60,91,174,
18,1,3,46,41,37,34,30,27,23,19,18,19,20,21,23,25,30,36,45,60,88,170,
18,1,4,61,55,50,45,41,36,32,28,24,18,19,20,23,26,30,37,45,60,90,177,
18,1,5,58,53,48,44,39,36,32,28,25,21,17,19,21,25,29,36,45,60,90,171,
18,1,6,48,44,40,36,32,29,25,22,18,18,19,20,22,25,29,35,45,59,88,175,
18,1,7,75,68,62,56,50,45,40,35,31,26,20,20,22,25,30,36,45,61,89,174,
18,1,8,67,61,56,50,45,41,37,32,28,23,20,21,23,26,31,38,47,60,90,173,
18,1,9,151,137,125,113,102,92,82,73,65,57,49,41,32,29,31,35,45,59,89,175,
18,1,10,80,73,66,60,54,48,43,38,34,29,23,24,25,28,31,37,46,59,89,172,
18,1,11,83,75,68,61,55,49,44,38,32,25,25,25,27,28,33,36,46,61,92,173,
18,1,12,265,240,218,197,178,161,144,129,115,101,88,75,63,50,36,36,45,61,90,175,
18,1,13,173,159,145,133,121,110,100,90,80,70,60,43,49,49,38,41,49,62,92,178,
18,1,14,85,81,77,72,68,63,59,54,50,46,41,37,32,25,30,37,45,60,89,175,
18,1,15,49,44,40,36,33,29,26,22,18,17,18,19,22,25,30,36,44,60,87,170,
18,1,16,40,36,33,29,26,23,20,17,14,15,17,19,22,25,29,36,45,59,88,176,
18,1,17,61,55,50,45,41,37,34,30,27,23,22,21,24,28,32,39,48,62,93,172,
18,1,18,57,52,47,42,38,34,30,26,21,20,20,21,23,25,30,36,45,60,88,175,
18,1,19,119,110,100,92,84,77,69,63,57,50,45,39,32,26,31,37,45,60,90,171,
18,1,20,59,53,48,44,39,35,31,27,23,18,18,20,22,26,30,36,44,60,89,174,
18,1,21,79,72,66,60,54,49,44,39,35,30,26,21,23,26,30,36,44,60,90,174,
18,1,22,70,64,58,53,48,43,39,34,30,25,21,22,24,27,32,38,47,62,90,179,
18,1,23,66,60,55,50,45,41,37,33,29,25,20,21,23,26,31,37,46,60,89,172,
18,1,24,48,43,39,35,32,28,25,22,18,17,18,19,21,25,30,36,44,60,90,177,
18,1,25,40,36,33,30,27,24,21,18,15,15,17,19,21,25,30,36,45,59,89,175,
18,1,26,72,66,61,56,51,47,42,38,34,30,26,21,22,25,30,36,45,60,90,177,
18,1,27,46,42,38,34,31,28,24,21,17,16,17,19,22,25,29,36,45,59,89,170,
18,1,28,51,46,42,38,34,30,27,22,22,23,24,25,27,30,33,39,49,63,90,176,
18,1,29,110,100,91,82,74,67,60,53,47,41,34,26,26,28,31,38,46,61,90,175,
18,2,0,82,74,67,61,55,49,44,39,34,29,24,20,23,27,31,38,48,64,94,183,
18,2,1,107,97,88,80,72,65,58,52,46,40,33,30,31,33,35,40,49,63,95,183,
18,2,2,105,95,87,79,72,65,58,52,46,40,35,28,24,28,32,38,47,63,94,184,
18,2,3,182,166,150,136,123,111,100,90,80,71,63,55,46,45,35,39,53,64,96,184,
18,2,4,103,94,86,79,72,68,65,65,60,33,29,30,58,44,36,40,48,63,92,182,
18,2,5,81,73,67,60,54,49,43,38,33,28,24,23,24,27,32,37,46,62,92,181,
18,2,6,299,271,247,224,205,188,173,162,162,79,55,38,32,30,31,37,47,63,92,185,
18,2,7,242,220,200,182,165,149,135,121,108,95,83,71,59,42,43,38,47,62,92,181,
18,2,8,99,90,82,74,67,61,55,49,44,38,32,30,31,32,36,41,50,64,96,184,
18,2,9,62,57,51,46,42,38,33,29,25,21,20,21,24,27,31,38,47,62,94,184,
18,2,10,74,68,61,56,50,45,40,36,31,27,22,21,24,26,31,37,47,62,92,179,
18,2,11,48,44,40,36,32,29,25,22,18,18,19,21,24,27,31,38,47,63,93,181,
18,2,12,57,51,46,41,36,32,27,22,17,19,18,20,22,26,31,37,46,62,94,181,
18,2,13,92,84,76,70,63,58,52,47,42,38,33,28,29,33,46,38,46,63,94,180,
18,2,14,67,62,58,53,49,44,40,36,32,28,23,21,23,27,31,37,47,61,92,183,
18,2,15,110,100,91,83,75,68,62,56,50,45,40,35,29,28,32,38,47,63,93,184,
18,2,16,83,72,62,51,38,37,40,39,37,34,31,27,22,26,31,37,47,64,94,183,
18,2,17,186,168,152,137,123,111,99,88,78,68,58,49,39,36,40,44,56,65,95,183,
18,2,18,103,94,85,78,70,64,58,52,46,40,34,33,35,39,44,41,48,63,93,183,
18,2,19,350,320,292,266,242,219,198,179,160,142,126,109,93,76,31,66,68,65,92,181,
18,2,20,48,43,39,35,32,28,25,21,20,20,22,24,26,29,32,39,48,64,94,180,
18,2,21,67,61,55,50,45,41,164,162,146,131,119,109,103,66,56,59,59,66,95,185,
18,2,22,79,71,65,59,53,47,42,37,32,27,22,20,23,26,31,38,47,64,95,180,
