b,chi,seed,NOR,COR(1.05),COR(1.1),COR(1.15),COR(1.2),COR(1.25),COR(1.3),COR(1.35),COR(1.4),COR(1.45),COR(1.5),COR(1.55),COR(1.6),COR(1.65),COR(1.7),COR(1.75),COR(1.8),COR(1.85),COR(1.9),COR(1.95)
10,3,1,58,52,47,42,37,33,29,24,20,18,20,22,24,28,33,40,51,64,98,190,
10,3,2,66,60,54,49,44,39,35,30,26,21,19,21,24,27,32,39,50,64,98,189,
10,3,3,54,48,44,42,42,41,40,59,47,38,35,33,31,30,33,40,49,66,98,196,
10,3,4,85,77,70,63,57,51,46,40,35,30,24,21,24,27,32,39,49,66,99,193,
10,3,5,83,76,70,64,59,55,51,48,54,161,138,118,99,90,83,75,57,65,106,198,
10,3,6,154,138,125,112,101,90,80,71,62,53,45,38,36,36,38,43,51,67,102,197,
10,3,7,122,110,100,91,82,74,66,59,52,45,37,34,34,34,34,39,49,66,103,198,
10,3,8,121,109,99,90,81,73,65,58,51,45,38,30,28,29,33,40,49,66,100,190,
10,3,9,87,79,72,65,59,53,47,42,37,31,27,28,33,35,36,42,51,66,98,192,
10,4,0,86,79,71,64,58,52,46,41,35,27,28,28,33,52,38,43,51,68,106,195,
10,4,1,190,172,156,142,128,116,104,93,83,73,64,54,44,38,39,43,53,70,102,197,
10,4,2,134,122,110,100,91,82,73,65,58,51,43,36,27,28,34,40,51,67,100,199,
10,4,3,118,108,98,88,80,72,64,57,50,44,37,30,28,31,35,42,51,69,101,198,
10,4,4,226,204,184,166,150,135,120,107,94,82,71,59,52,50,50,51,58,73,102,201,
10,4,5,118,108,98,89,80,72,65,58,51,44,37,30,24,28,33,40,51,67,101,197,
10,4,6,260,237,215,195,176,157,137,99,127,52,41,31,30,31,36,43,58,71,102,222,
10,4,7,137,124,113,102,92,83,75,67,59,52,44,37,28,29,34,41,52,69,104,197,
10,4,8,193,175,158,143,129,116,104,93,82,72,62,53,43,31,37,52,70,78,113,201,
10,4,9,86,78,71,64,58,52,46,41,36,31,24,23,25,28,34,41,51,68,103,200,
10,5,0,211,190,171,154,138,122,108,95,83,73,66,30,29,32,35,42,54,71,104,202,
10,5,1,400,365,332,302,273,247,222,199,177,157,137,119,102,86,71,54,53,69,104,204,
10,5,2,97,88,80,73,66,60,54,49,43,38,33,29,31,34,38,43,53,71,247,198,
10,5,3,258,241,227,216,221,239,214,194,176,160,146,169,136,112,89,67,54,70,105,202,
10,5,4,397,355,318,284,255,229,205,184,166,148,132,117,101,85,68,56,59,71,103,200,
10,5,5,142,130,118,108,98,89,80,72,64,57,51,44,35,31,35,42,51,68,103,197,
10,5,6,85,77,70,64,58,52,46,41,36,31,23,25,28,34,36,41,52,69,103,205,
10,5,7,134,123,112,102,93,85,77,70,63,56,50,44,37,41,48,54,59,71,105,207,
10,5,8,206,188,171,155,140,127,114,102,91,79,68,56,44,31,35,42,52,69,104,202,
10,5,9,293,268,245,224,204,186,169,153,138,124,111,98,44,40,43,50,60,71,104,208,
10,6,0,400,394,359,324,290,254,203,201,215,76,55,43,31,34,37,42,53,77,109,207,
10,6,1,196,178,162,147,133,120,108,97,86,76,66,56,45,39,44,51,63,79,112,215,
10,6,2,256,233,212,193,175,159,144,129,116,103,91,79,68,56,41,47,58,74,109,201,
10,6,3,224,204,186,169,154,140,126,113,100,87,75,62,51,43,36,41,53,71,106,215,
10,6,4,324,294,267,242,220,198,178,160,142,126,110,95,80,65,49,42,52,71,105,207,
10,6,5,163,147,133,119,107,96,85,76,67,59,52,46,39,32,35,42,53,71,106,208,
10,6,6,400,400,400,400,400,400,400,400,400,378,277,213,162,115,76,69,53,71,109,205,
10,6,7,226,208,190,173,156,139,121,98,86,93,91,85,77,67,52,44,54,72,106,210,
10,6,8,175,159,144,131,119,107,96,86,76,67,58,49,40,31,35,42,53,71,108,208,
10,6,9,128,117,106,97,88,79,72,64,57,50,43,36,31,34,38,47,56,71,106,209,
10,7,0,236,217,200,184,169,156,144,133,122,112,102,92,82,69,63,65,68,73,116,208,
10,7,1,155,141,128,116,105,94,85,76,67,59,51,43,33,31,36,43,54,72,107,207,
10,7,2,154,140,127,115,103,93,84,75,66,58,50,42,32,34,38,45,56,74,109,212,
10,7,3,274,245,220,197,177,159,143,128,114,101,90,82,134,64,46,47,57,72,110,212,
10,7,4,293,268,244,223,203,184,167,150,135,120,105,91,76,61,41,49,75,81,117,211,
10,7,5,237,215,195,177,159,143,129,115,101,89,77,65,54,41,35,43,54,72,110,213,
10,7,6,162,149,136,124,114,103,94,85,77,69,61,53,44,42,45,53,59,72,106,203,
10,7,7,150,136,123,111,100,90,81,72,63,55,47,38,31,33,38,45,57,74,111,216,
10,7,8,334,306,280,256,234,214,194,176,158,142,125,110,95,79,63,46,55,74,106,207,
10,7,9,400,374,339,307,278,250,224,200,177,155,134,113,90,61,65,47,55,72,108,207,
10,8,0,400,366,333,303,275,249,224,202,181,161,142,123,106,89,71,46,56,73,107,209,
10,8,1,400,400,400,400,400,400,360,323,288,255,223,194,166,138,112,85,53,71,106,206,
10,8,2,304,280,258,237,218,199,181,164,148,132,116,101,86,70,55,43,54,72,106,210,
10,8,3,400,400,400,400,400,400,362,227,197,172,149,129,109,90,68,57,71,78,110,218,
10,8,4,290,264,239,217,196,176,158,141,126,110,96,82,68,54,35,41,52,70,103,202,
10,8,5,400,379,346,315,287,262,238,216,196,177,159,141,124,108,90,71,57,72,106,205,
10,8,6,239,217,197,178,161,145,131,117,104,92,80,69,58,45,40,43,56,76,104,202,
10,8,7,400,400,390,354,321,290,261,234,208,184,162,140,119,99,79,53,57,72,106,208,
10,8,8,318,290,263,239,217,196,177,158,141,125,110,95,81,66,50,41,52,69,104,203,
10,8,9,195,177,161,146,132,119,107,95,84,74,65,55,46,35,34,42,53,70,102,200,
10,9,0,166,150,137,125,113,103,93,84,76,68,60,52,43,33,32,39,48,66,97,189,
10,9,1,184,168,153,139,126,114,103,92,82,73,64,55,46,37,30,37,46,62,93,175,
10,9,2,400,400,400,400,400,400,400,400,400,400,356,307,256,203,155,152,137,105,102,192,
10,9,3,385,350,318,289,262,238,215,193,173,155,137,121,105,91,81,118,74,71,101,201,
10,9,4,88,79,71,63,55,48,41,36,33,30,26,21,24,27,32,38,49,65,96,185,
10,9,5,400,400,400,400,400,400,400,400,394,354,316,281,247,215,186,161,56,64,95,183,
10,9,6,52,48,43,39,35,31,28,24,20,16,16,18,21,25,30,36,45,61,89,175,
10,9,7,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,353,247,147,91,175,
10,9,8,191,175,160,146,133,121,110,99,89,80,71,62,54,45,35,34,43,57,85,163,
10,9,9,176,160,145,132,119,108,97,86,77,67,58,50,41,29,30,36,45,61,88,177,
10, 1, 10, 34, 31, 28, 25, 22, 19, 16, 13, 13, 15, 17, 19, 21, 25, 30, 36, 46, 61, 90, 179, 
10, 1, 11, 32, 29, 26, 24, 21, 19, 16, 13, 15, 16, 18, 20, 22, 26, 31, 37, 46, 64, 93, 183, 
10, 1, 12, 27, 24, 22, 19, 17, 14, 13, 13, 14, 16, 18, 20, 22, 26, 30, 37, 47, 61, 90, 177, 
10, 1, 13, 70, 63, 57, 51, 45, 40, 35, 31, 27, 21, 21, 23, 25, 27, 31, 38, 45, 60, 92, 180, 
10, 1, 14, 46, 41, 37, 34, 30, 27, 23, 20, 16, 16, 17, 19, 22, 25, 30, 36, 45, 60, 88, 176, 
10, 1, 15, 76, 68, 60, 53, 46, 40, 35, 31, 31, 31, 30, 27, 24, 26, 30, 38, 48, 62, 93, 182, 
10, 1, 16, 70, 64, 57, 52, 46, 41, 36, 31, 25, 24, 24, 24, 25, 27, 31, 37, 46, 62, 94, 181, 
10, 1, 17, 39, 35, 32, 29, 27, 24, 21, 18, 17, 16, 18, 20, 23, 26, 31, 37, 46, 62, 92, 177, 
10, 1, 18, 137, 124, 113, 102, 92, 83, 75, 66, 59, 51, 44, 36, 31, 31, 33, 37, 46, 61, 88, 174, 
10, 1, 19, 21, 20, 18, 17, 15, 13, 11, 12, 14, 15, 17, 19, 22, 26, 30, 37, 46, 61, 90, 178, 
10, 1, 20, 47, 43, 39, 36, 33, 29, 26, 23, 19, 19, 21, 23, 26, 31, 44, 42, 47, 61, 89, 184, 
10, 1, 21, 51, 47, 44, 40, 37, 35, 32, 29, 27, 24, 20, 20, 23, 26, 30, 41, 45, 61, 92, 180, 
10, 1, 22, 177, 161, 146, 132, 119, 107, 96, 86, 76, 66, 57, 48, 37, 35, 33, 37, 46, 61, 93, 182, 
10, 1, 23, 45, 41, 38, 34, 31, 28, 25, 21, 21, 22, 22, 24, 26, 29, 34, 40, 51, 66, 93, 178, 
10, 1, 24, 53, 48, 43, 39, 35, 31, 27, 23, 19, 17, 19, 21, 24, 27, 32, 37, 47, 63, 93, 178, 
10, 1, 25, 61, 55, 50, 45, 40, 36, 32, 27, 23, 20, 18, 20, 22, 26, 31, 37, 47, 63, 92, 178, 
10, 1, 26, 22, 19, 17, 14, 13, 13, 12, 13, 14, 15, 17, 19, 21, 25, 30, 36, 45, 60, 91, 179, 
10, 1, 27, 81, 74, 67, 60, 54, 49, 44, 39, 34, 28, 24, 22, 25, 29, 36, 42, 57, 73, 97, 182, 
10, 1, 28, 30, 27, 24, 21, 19, 16, 12, 13, 14, 16, 18, 20, 23, 26, 32, 38, 47, 64, 92, 183, 
10, 1, 29, 56, 51, 46, 42, 38, 33, 29, 25, 21, 16, 17, 19, 22, 26, 31, 37, 48, 61, 92, 182, 
10, 2, 10, 49, 47, 44, 41, 38, 35, 31, 27, 23, 18, 18, 21, 24, 27, 32, 39, 49, 66, 96, 189, 
10, 2, 11, 82, 75, 68, 62, 56, 50, 45, 40, 35, 29, 22, 23, 25, 28, 33, 39, 48, 65, 100, 190, 
10, 2, 12, 58, 52, 46, 41, 36, 32, 28, 24, 20, 18, 17, 20, 23, 26, 31, 38, 48, 66, 96, 186, 
10, 2, 13, 306, 278, 253, 229, 208, 188, 171, 155, 144, 41, 32, 28, 29, 32, 35, 41, 51, 71, 100, 190, 
10, 2, 14, 72, 65, 58, 52, 46, 40, 34, 26, 25, 24, 20, 22, 25, 28, 33, 39, 49, 66, 98, 186, 
10, 2, 15, 400, 400, 400, 400, 400, 400, 400, 91, 75, 63, 52, 45, 42, 41, 40, 45, 52, 67, 96, 189, 
10, 2, 16, 116, 105, 95, 86, 77, 69, 61, 54, 47, 39, 27, 30, 27, 28, 33, 39, 49, 62, 96, 185, 
10, 2, 17, 134, 121, 110, 100, 90, 81, 73, 65, 57, 50, 42, 35, 25, 27, 32, 39, 48, 65, 95, 191, 
10, 2, 18, 102, 94, 87, 80, 74, 68, 63, 58, 54, 50, 58, 39, 39, 36, 36, 40, 50, 68, 97, 188, 
10, 2, 19, 44, 39, 35, 31, 27, 24, 20, 19, 19, 20, 21, 23, 25, 29, 33, 40, 48, 64, 96, 183, 
10, 2, 20, 133, 121, 110, 100, 90, 81, 73, 65, 58, 51, 44, 37, 29, 29, 32, 39, 47, 63, 94, 180, 
10, 2, 21, 58, 53, 48, 43, 39, 35, 31, 27, 24, 20, 22, 24, 26, 30, 34, 40, 50, 65, 97, 190, 
10, 2, 22, 55, 50, 45, 41, 37, 33, 29, 25, 21, 19, 20, 20, 23, 27, 32, 42, 52, 65, 101, 190, 
10, 2, 23, 92, 86, 79, 73, 68, 62, 57, 53, 49, 45, 49, 32, 27, 29, 32, 40, 49, 66, 101, 183, 
10, 2, 24, 70, 63, 57, 52, 46, 41, 37, 32, 27, 22, 19, 21, 24, 27, 31, 38, 49, 65, 98, 191, 
10, 2, 25, 66, 61, 55, 51, 46, 42, 37, 33, 29, 25, 19, 20, 23, 26, 31, 38, 47, 64, 96, 190, 
10, 2, 26, 97, 89, 82, 75, 68, 63, 57, 52, 46, 41, 36, 34, 31, 34, 35, 40, 48, 64, 102, 191, 
10, 2, 27, 121, 110, 100, 90, 81, 73, 65, 58, 51, 44, 37, 29, 26, 28, 33, 39, 49, 64, 95, 187, 
10, 2, 28, 63, 57, 51, 46, 42, 37, 33, 29, 24, 18, 19, 21, 24, 28, 32, 39, 49, 65, 96, 191, 
10, 2, 29, 49, 44, 40, 36, 33, 29, 25, 22, 17, 18, 19, 21, 24, 28, 32, 39, 49, 65, 95, 187, 
10, 3, 10, 292, 263, 237, 214, 192, 172, 153, 136, 119, 104, 89, 75, 61, 43, 40, 40, 50, 67, 99, 193, 
10, 3, 11, 129, 117, 107, 97, 88, 79, 71, 64, 57, 50, 43, 36, 27, 29, 34, 41, 51, 67, 100, 194, 
10, 3, 12, 113, 102, 92, 82, 74, 65, 58, 51, 44, 38, 33, 26, 25, 28, 32, 39, 49, 65, 97, 190, 
10, 3, 13, 53, 48, 44, 40, 37, 34, 31, 28, 24, 22, 23, 24, 27, 30, 34, 41, 51, 66, 98, 191, 
10, 3, 14, 55, 50, 46, 41, 37, 33, 30, 26, 22, 19, 21, 23, 26, 29, 34, 41, 51, 68, 100, 195, 
10, 3, 15, 78, 71, 65, 59, 53, 48, 43, 38, 33, 28, 21, 22, 24, 29, 34, 39, 50, 67, 100, 193, 
10, 3, 16, 67, 61, 56, 51, 46, 42, 38, 34, 30, 25, 25, 28, 48, 34, 34, 41, 50, 66, 97, 190, 
10, 3, 17, 92, 84, 76, 69, 62, 56, 51, 46, 42, 42, 40, 36, 36, 38, 40, 46, 54, 68, 100, 193, 
10, 3, 18, 119, 109, 100, 93, 88, 83, 76, 67, 48, 35, 36, 38, 45, 41, 40, 43, 53, 67, 101, 196, 
10, 3, 19, 75, 67, 60, 53, 47, 41, 36, 31, 25, 23, 24, 25, 27, 30, 34, 41, 51, 68, 102, 195, 
10, 3, 20, 73, 64, 54, 47, 46, 45, 43, 39, 36, 32, 27, 24, 26, 30, 34, 42, 56, 69, 100, 192, 
10, 3, 21, 84, 76, 68, 62, 55, 50, 44, 39, 34, 29, 23, 23, 25, 28, 34, 40, 50, 71, 103, 191, 
10, 3, 22, 74, 67, 61, 55, 49, 44, 39, 35, 30, 25, 21, 22, 24, 28, 33, 39, 50, 67, 100, 195, 
10, 3, 23, 242, 267, 273, 252, 236, 56, 48, 42, 36, 31, 25, 22, 25, 28, 33, 39, 50, 67, 99, 195, 
10, 3, 24, 140, 127, 116, 105, 94, 85, 76, 68, 59, 52, 44, 37, 28, 27, 32, 39, 51, 68, 100, 194, 
10, 3, 25, 154, 143, 135, 137, 66, 55, 47, 41, 36, 31, 32, 47, 33, 30, 34, 39, 50, 65, 99, 190, 
10, 3, 26, 71, 65, 59, 53, 48, 43, 39, 34, 30, 25, 24, 26, 29, 36, 56, 47, 52, 67, 103, 199, 
10, 3, 27, 149, 137, 127, 118, 109, 103, 99, 106, 233, 200, 173, 148, 125, 104, 83, 61, 65, 79, 101, 194, 
10, 3, 28, 91, 83, 75, 68, 61, 55, 49, 44, 38, 33, 27, 24, 26, 29, 32, 40, 50, 66, 98, 190, 
10, 3, 29, 92, 83, 75, 67, 60, 54, 48, 42, 36, 29, 24, 24, 27, 31, 33, 40, 49, 68, 100, 195, 
10, 4, 10, 301, 278, 255, 233, 212, 193, 175, 157, 141, 125, 109, 94, 80, 75, 71, 65, 58, 69, 110, 199, 
10, 4, 11, 167, 151, 137, 124, 112, 101, 91, 81, 72, 64, 55, 46, 36, 33, 37, 43, 53, 70, 104, 200, 
10, 4, 12, 222, 203, 185, 169, 154, 139, 126, 114, 102, 91, 82, 79, 60, 47, 43, 48, 62, 72, 112, 206, 
10, 4, 13, 179, 163, 148, 134, 121, 109, 98, 87, 77, 68, 58, 49, 39, 31, 34, 41, 51, 68, 100, 196, 
10, 4, 14, 99, 90, 81, 74, 66, 59, 53, 47, 41, 35, 29, 23, 25, 28, 33, 40, 50, 67, 101, 198, 
10, 4, 15, 359, 321, 287, 255, 225, 198, 172, 148, 126, 107, 90, 75, 61, 50, 51, 54, 63, 85, 103, 197, 
10, 4, 16, 94, 86, 78, 71, 64, 57, 51, 46, 40, 34, 28, 24, 26, 29, 34, 41, 51, 69, 104, 198, 
10, 4, 17, 194, 175, 158, 142, 128, 115, 103, 91, 81, 72, 63, 54, 41, 40, 45, 50, 59, 74, 104, 203, 
10, 4, 18, 229, 215, 202, 188, 174, 160, 147, 134, 121, 108, 96, 83, 71, 60, 47, 41, 51, 67, 110, 205, 
10, 4, 19, 148, 134, 122, 111, 101, 91, 82, 73, 64, 56, 49, 40, 32, 35, 38, 44, 54, 70, 103, 201, 
10, 4, 20, 275, 250, 227, 206, 187, 169, 153, 137, 123, 109, 96, 84, 71, 58, 41, 48, 53, 72, 105, 198, 
10, 4, 21, 139, 126, 115, 104, 94, 84, 75, 67, 60, 53, 45, 37, 32, 33, 36, 43, 52, 70, 104, 199, 
10, 4, 22, 185, 164, 133, 115, 101, 89, 79, 69, 61, 52, 44, 36, 29, 30, 34, 41, 51, 67, 101, 196, 
10, 4, 23, 120, 111, 103, 99, 123, 312, 274, 249, 232, 131, 69, 49, 37, 34, 43, 48, 52, 70, 104, 200, 
10, 4, 24, 168, 151, 135, 121, 108, 97, 86, 75, 66, 57, 48, 40, 30, 29, 33, 41, 51, 80, 105, 199, 
10, 4, 25, 160, 146, 133, 121, 110, 100, 91, 83, 77, 74, 68, 54, 49, 50, 40, 44, 54, 68, 104, 203, 
10, 4, 26, 400, 400, 400, 389, 356, 324, 295, 267, 241, 216, 193, 170, 148, 125, 101, 47, 54, 69, 103, 201, 
10, 4, 27, 277, 247, 220, 196, 175, 156, 139, 123, 108, 94, 81, 71, 62, 60, 62, 63, 67, 76, 103, 195, 
10, 4, 28, 203, 186, 170, 156, 142, 129, 117, 106, 95, 84, 74, 65, 55, 44, 37, 43, 56, 72, 105, 197, 
10, 4, 29, 179, 163, 148, 135, 122, 110, 99, 89, 79, 70, 61, 52, 42, 30, 34, 40, 52, 68, 103, 197, 
10, 5, 10, 118, 108, 99, 90, 82, 74, 67, 60, 54, 47, 41, 33, 36, 39, 42, 47, 55, 72, 108, 202, 
10, 5, 11, 96, 89, 85, 219, 198, 178, 160, 143, 128, 113, 99, 85, 72, 56, 39, 45, 53, 72, 105, 201, 
10, 5, 12, 160, 143, 128, 114, 101, 90, 80, 70, 61, 52, 43, 34, 34, 35, 37, 43, 53, 69, 105, 204, 
10, 5, 13, 260, 236, 213, 193, 174, 157, 141, 126, 112, 98, 85, 73, 60, 51, 49, 51, 62, 68, 101, 200, 
10, 5, 14, 139, 136, 143, 188, 167, 149, 133, 119, 105, 92, 80, 68, 55, 46, 45, 47, 56, 73, 106, 206, 
10, 5, 15, 302, 275, 251, 230, 100, 78, 73, 66, 59, 52, 45, 37, 27, 30, 35, 42, 52, 68, 104, 205, 
10, 5, 16, 264, 240, 217, 197, 178, 160, 144, 129, 115, 102, 90, 78, 67, 56, 41, 49, 52, 70, 101, 199, 
10, 5, 17, 345, 313, 284, 257, 232, 209, 188, 168, 149, 132, 115, 99, 83, 66, 54, 52, 58, 73, 107, 207, 
10, 5, 18, 129, 118, 107, 98, 89, 82, 75, 69, 63, 58, 53, 45, 46, 47, 45, 47, 57, 84, 111, 209, 
10, 5, 19, 157, 154, 149, 143, 137, 130, 123, 116, 111, 70, 53, 42, 38, 38, 40, 45, 54, 71, 105, 199, 
10, 5, 20, 226, 206, 187, 169, 153, 138, 124, 111, 99, 87, 76, 64, 52, 37, 34, 42, 53, 70, 104, 203, 
10, 5, 21, 150, 134, 120, 107, 96, 86, 77, 68, 60, 53, 45, 37, 33, 35, 37, 44, 53, 70, 104, 205, 
10, 5, 22, 144, 131, 119, 107, 97, 87, 78, 70, 62, 54, 46, 37, 34, 35, 38, 45, 54, 72, 107, 209, 
10, 5, 23, 400, 400, 400, 400, 400, 400, 370, 333, 298, 266, 235, 207, 179, 153, 128, 102, 74, 73, 103, 202, 
10, 5, 24, 195, 176, 158, 142, 127, 114, 101, 89, 78, 67, 57, 47, 34, 34, 35, 42, 52, 70, 103, 211, 
10, 5, 25, 225, 204, 185, 167, 152, 137, 124, 111, 99, 88, 77, 66, 55, 43, 38, 41, 52, 71, 107, 203, 
10, 5, 26, 152, 136, 122, 109, 98, 87, 77, 68, 60, 52, 44, 36, 36, 38, 41, 46, 56, 73, 105, 203, 
10, 5, 27, 218, 198, 180, 163, 148, 134, 121, 109, 98, 88, 79, 71, 69, 33, 35, 42, 52, 69, 102, 197, 
10, 5, 28, 150, 137, 125, 114, 104, 94, 85, 76, 67, 59, 50, 42, 31, 30, 36, 42, 53, 70, 103, 203, 
10, 5, 29, 371, 338, 308, 280, 254, 230, 207, 186, 166, 147, 129, 112, 96, 80, 62, 49, 58, 73, 102, 200, 
10, 6, 10, 344, 311, 281, 255, 231, 208, 188, 169, 152, 135, 119, 103, 86, 67, 54, 48, 54, 72, 106, 207, 
10, 6, 11, 217, 199, 183, 167, 154, 141, 129, 118, 107, 98, 88, 78, 66, 58, 52, 52, 56, 73, 108, 209, 
10, 6, 12, 224, 203, 185, 169, 157, 156, 140, 118, 99, 81, 55, 61, 52, 42, 39, 43, 54, 71, 106, 209, 
10, 6, 13, 400, 400, 400, 377, 341, 308, 277, 248, 221, 195, 171, 148, 126, 104, 81, 45, 53, 71, 106, 204, 
10, 6, 14, 209, 137, 167, 174, 170, 162, 152, 142, 137, 59, 48, 38, 30, 32, 37, 43, 53, 71, 106, 210, 
10, 6, 15, 207, 179, 144, 132, 138, 136, 144, 112, 95, 82, 71, 61, 52, 41, 38, 44, 57, 71, 108, 209, 
10, 6, 16, 167, 151, 137, 124, 112, 100, 90, 80, 71, 62, 54, 45, 36, 31, 36, 42, 54, 71, 105, 204, 
10, 6, 17, 400, 400, 393, 356, 323, 292, 263, 236, 210, 186, 164, 143, 122, 103, 83, 60, 59, 73, 106, 210, 
10, 6, 18, 206, 187, 170, 154, 139, 125, 113, 101, 89, 78, 68, 57, 46, 34, 35, 42, 53, 73, 106, 210, 
10, 6, 19, 400, 400, 164, 136, 113, 95, 81, 70, 60, 52, 44, 36, 31, 33, 37, 45, 55, 73, 106, 211, 
10, 6, 20, 193, 176, 159, 144, 131, 118, 106, 95, 84, 74, 64, 55, 44, 31, 35, 43, 54, 72, 108, 211, 
10, 6, 21, 273, 246, 221, 198, 178, 159, 141, 124, 109, 94, 81, 68, 56, 44, 36, 42, 53, 70, 105, 218, 
10, 6, 22, 270, 264, 249, 232, 214, 197, 180, 164, 150, 139, 169, 148, 127, 106, 82, 73, 69, 72, 106, 207, 
10, 6, 23, 226, 208, 190, 174, 159, 145, 131, 118, 106, 94, 83, 72, 60, 44, 47, 50, 58, 73, 105, 207, 
10, 6, 24, 299, 274, 251, 230, 212, 197, 184, 178, 123, 95, 78, 63, 50, 41, 40, 44, 54, 72, 105, 210, 
10, 6, 25, 190, 173, 157, 143, 129, 116, 105, 93, 82, 72, 62, 52, 41, 33, 36, 42, 53, 71, 108, 213, 
10, 6, 26, 214, 184, 156, 133, 114, 101, 93, 90, 89, 86, 82, 76, 69, 60, 48, 42, 53, 71, 107, 205, 
10, 6, 27, 331, 245, 210, 184, 162, 143, 125, 110, 96, 83, 71, 60, 49, 37, 38, 43, 53, 70, 103, 199, 
10, 6, 28, 111, 101, 92, 83, 76, 68, 62, 55, 49, 43, 37, 30, 26, 30, 35, 43, 54, 72, 120, 208, 
10, 6, 29, 400, 400, 396, 359, 326, 295, 266, 240, 215, 191, 169, 148, 128, 108, 89, 67, 63, 75, 108, 207, 
10, 7, 10, 279, 253, 229, 206, 186, 167, 150, 134, 120, 106, 93, 82, 71, 64, 174, 130, 84, 76, 107, 213, 
10, 7, 11, 400, 364, 327, 295, 266, 240, 216, 194, 174, 155, 137, 121, 105, 90, 74, 57, 65, 79, 119, 207, 
10, 7, 12, 242, 220, 199, 181, 163, 147, 132, 118, 105, 93, 82, 71, 60, 48, 41, 44, 56, 73, 108, 209, 
10, 7, 13, 400, 400, 386, 349, 315, 284, 254, 227, 201, 177, 154, 132, 110, 87, 61, 61, 63, 73, 111, 211, 
10, 7, 14, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 359, 286, 230, 193, 218, 209, 
10, 7, 15, 400, 400, 400, 400, 389, 352, 318, 286, 257, 228, 202, 177, 153, 129, 105, 76, 66, 77, 112, 211, 
10, 7, 16, 368, 335, 304, 275, 248, 223, 199, 176, 154, 133, 113, 95, 78, 61, 51, 58, 65, 81, 110, 210, 
10, 7, 17, 400, 386, 352, 321, 292, 265, 240, 216, 194, 173, 153, 134, 116, 98, 80, 57, 60, 77, 107, 212, 
10, 7, 18, 225, 204, 186, 169, 153, 138, 124, 111, 99, 88, 76, 65, 53, 44, 45, 47, 57, 74, 107, 209, 
10, 7, 19, 377, 341, 309, 279, 252, 227, 203, 182, 161, 142, 123, 105, 86, 67, 59, 53, 58, 76, 110, 216, 
10, 7, 20, 400, 400, 400, 400, 400, 400, 400, 400, 358, 318, 280, 244, 209, 173, 135, 80, 72, 72, 108, 216, 
10, 7, 21, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 359, 309, 262, 217, 171, 99, 93, 106, 212, 
10, 7, 22, 400, 378, 343, 312, 282, 255, 229, 205, 182, 159, 135, 101, 97, 90, 75, 52, 56, 73, 106, 210, 
10, 7, 23, 327, 298, 270, 245, 222, 200, 180, 161, 144, 127, 111, 96, 80, 65, 46, 48, 53, 72, 107, 206, 
10, 7, 24, 222, 200, 181, 163, 146, 130, 116, 101, 86, 69, 58, 63, 59, 54, 44, 45, 56, 73, 108, 208, 
