b,chi,seed,NOR,COR(1.05),COR(1.1),COR(1.15),COR(1.2),COR(1.25),COR(1.3),COR(1.35),COR(1.4),COR(1.45),COR(1.5),COR(1.55),COR(1.6),COR(1.65),COR(1.7),COR(1.75),COR(1.8),COR(1.85),COR(1.9),COR(1.95)
10,1,0,115,104,95,86,77,70,62,55,49,42,35,27,25,27,32,38,47,63,96,185,
10,1,1,30,27,24,22,19,17,14,13,14,16,17,19,22,25,30,36,46,62,94,180,
10,1,2,108,98,89,80,72,65,57,51,44,37,34,34,34,34,34,39,48,62,90,183,
10,1,3,165,150,136,123,111,99,89,79,69,60,51,40,35,27,30,36,45,65,91,172,
10,1,4,77,70,63,57,51,46,41,36,31,24,24,25,26,28,30,36,46,61,89,175,
10,1,5,30,27,24,21,18,15,14,15,16,18,19,21,24,28,32,38,47,61,94,182,
10,1,6,34,31,28,25,23,20,17,17,18,19,21,23,25,28,32,39,46,62,95,180,
10,1,7,46,41,37,33,29,26,23,19,16,15,17,19,22,25,30,36,45,62,93,181,
10,1,8,58,53,48,44,40,36,32,28,24,21,21,23,26,29,32,38,48,63,93,182,
10,1,9,29,26,23,21,18,16,13,13,14,15,17,20,23,26,31,37,47,63,91,184,
10,2,0,400,400,349,61,46,39,34,29,25,19,20,22,24,28,33,39,48,64,95,186,
10,2,1,77,70,64,58,53,48,43,38,33,28,23,20,23,26,30,37,47,61,91,182,
10,2,2,187,170,154,140,127,114,103,92,82,73,64,55,46,35,36,48,51,66,96,189,
10,2,3,39,35,31,28,25,22,19,16,15,17,18,21,24,27,32,39,48,66,97,186,
10,2,4,36,32,28,25,22,19,17,15,14,15,17,19,22,26,31,38,48,64,95,178,
10,2,5,77,70,64,58,52,47,42,37,33,28,29,30,33,30,32,38,48,64,96,186,
10,2,6,212,193,174,158,142,128,115,102,90,79,68,56,45,40,42,49,55,68,100,192,
10,2,7,136,124,113,103,93,84,75,67,60,52,45,37,24,27,33,40,48,64,96,187,
10,2,8,230,209,190,173,157,142,128,115,103,91,80,70,32,29,33,39,48,65,95,184,
10,2,9,54,48,43,38,33,28,23,19,19,17,19,21,24,28,32,40,49,67,98,185,
10,3,0,116,105,95,86,78,70,63,56,50,43,36,34,35,37,40,46,56,69,99,190,
